dataset,ratio,method,method_type,alpha,run,n_samples,in_degree,out_degree,wcc,scc,hop_plot,hop_plot_wcc,singular_vec,singular_val,clustering,AVG,experiment_type,S_AVG_ALL,T_AVG,COMBINED_AVG,Snapshot_1_in_degree,Snapshot_1_out_degree,Snapshot_1_wcc,Snapshot_1_scc,Snapshot_1_hop_plot,Snapshot_1_hop_plot_wcc,Snapshot_1_singular_vec,Snapshot_1_singular_val,Snapshot_1_clustering,Snapshot_1_AVG,Snapshot_2_in_degree,Snapshot_2_out_degree,Snapshot_2_wcc,Snapshot_2_scc,Snapshot_2_hop_plot,Snapshot_2_hop_plot_wcc,Snapshot_2_singular_vec,Snapshot_2_singular_val,Snapshot_2_clustering,Snapshot_2_AVG,Snapshot_3_in_degree,Snapshot_3_out_degree,Snapshot_3_wcc,Snapshot_3_scc,Snapshot_3_hop_plot,Snapshot_3_hop_plot_wcc,Snapshot_3_singular_vec,Snapshot_3_singular_val,Snapshot_3_clustering,Snapshot_3_AVG,Snapshot_4_in_degree,Snapshot_4_out_degree,Snapshot_4_wcc,Snapshot_4_scc,Snapshot_4_hop_plot,Snapshot_4_hop_plot_wcc,Snapshot_4_singular_vec,Snapshot_4_singular_val,Snapshot_4_clustering,Snapshot_4_AVG,T_T1_dpl,T_T2_diameter,T_T3_cc_size,T_T4_singular,T_T5_clustering,T_T_AVG
cit-HepTh,0.1,RN,baseline,,0.0,2777.0,0.43350318767741636,0.6038504966919259,0.8458371816862383,0.005203803823738085,0.22857142857142856,0.18235294117647058,0.5199135758012243,1.0,0.1091820987654321,0.4364905237993193,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RN,baseline,,1.0,2777.0,0.3956340760021536,0.5758925158125197,0.8498534660360386,0.0026730794577536354,0.16043956043956045,0.1092436974789916,0.46485415916456607,1.0,0.14506172839506173,0.4115169203096273,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,0.0,2777.0,0.14109509360064376,0.20470512760616644,0.8821283319191269,0.0004779014507768631,0.16785714285714284,0.20588235294117646,0.25956067698955704,0.98,0.3655115511551155,0.35635757539107843,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RPN,baseline,,1.0,2777.0,0.15457583336968284,0.2323067889896655,0.8754771125289054,0.0033047640654169097,0.09523809523809523,0.09019607843137255,0.23802664746128915,0.96,0.3564655721013109,0.3339545435761931,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,0.0,2777.0,0.05807783097761132,0.13893220389143368,0.8661777247143101,0.001245089957259471,0.11260504201680673,0.14052287581699346,0.36658264314007927,0.94,0.26563122262046995,0.3210860703483293,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RDN,baseline,,1.0,2777.0,0.06837077987141305,0.15744292526241843,0.8514975590447289,0.0013303438400177336,0.0773109243697479,0.09558823529411764,0.3517824990997479,0.94,0.29259259259259257,0.3151017621527538,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RW,baseline,,0.0,2777.0,0.06445386757577665,0.06739796466106263,0.993006993006993,0.0018154135360365364,0.11428571428571428,0.10784313725490197,0.3199135758012243,0.9,0.380718954248366,0.32771506893000835,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RW,baseline,,1.0,2777.0,0.035287246278432716,0.08442363874832759,0.993006993006993,0.0013953630588771082,0.1523809523809524,0.14052287581699346,0.1999639899171768,0.94,0.4136038073697107,0.32895387406416265,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RJ,baseline,,0.0,2777.0,0.16047376487007703,0.24839339707176145,0.4004144004144004,0.0012160855730716236,0.13333333333333333,0.1092436974789916,0.15876845516744686,0.98,0.3626543209876543,0.28383305054408187,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,RJ,baseline,,1.0,2777.0,0.1817713390477268,0.24422972511516416,0.32634032634032634,0.0009180350516699853,0.13626373626373625,0.13122171945701358,0.16654663305725603,0.98,0.35749934331494615,0.2805323175164266,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,FF,baseline,,0.0,2777.0,0.01187175668182594,0.09667077911697264,0.993006993006993,0.0010529444862312776,0.15396825396825398,0.16993464052287582,0.3200936262153402,0.88,0.392949967511371,0.3355054401677627,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,FF,baseline,,1.0,2777.0,0.09815490209795641,0.025014488075348673,0.993006993006993,0.0011073037308927391,0.20952380952380953,0.19518716577540107,0.23086064097947434,0.92,0.4001610305958132,0.34144625930952105,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.3),hybrid,0.3,0.0,2777.0,0.16451480815978403,0.31124285050827327,0.9337477337477338,0.002598582194126231,0.12380952380952381,0.11960784313725491,0.15529809613260193,1.0,0.2908422120750888,0.344629072196043,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cit-HepTh,0.1,HYB-RN-RW(α=0.3),hybrid,0.3,1.0,2777.0,0.11914539863181195,0.21691453239435443,0.9638099127150223,0.0003254204011217121,0.11428571428571428,0.1092436974789916,0.13110490471183206,0.98,0.2741975308641975,0.32322523460922725,scale_down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
