dataset,method,experiment_type,alpha,S1,S2,S3,S4,S5,S6,S7,S8,S9,avgS1_S9,T1,T2,T3,T4,T5,avgT1_T5,avgSandT
cit-HepPh,RN,back_in_time,,0.20549767989616846,0.29191190854336896,0.07003564031669118,0.001448278793167225,0.14866569119286505,0.19049492174492166,0.2726855447004021,0.5194444444444444,0.1672244306813857,0.20748983781260166,0.2,0.2,0.4000000000000001,0.2,0.3333333333333333,0.26666666666666666,0.23707825223963416
cit-HepPh,RPN,back_in_time,,0.11543676281660525,0.17729211615750662,0.09611972757835544,0.002208435380799275,0.15171086995693267,0.17084508288552402,0.17527527090000644,0.3833333333333333,0.2587055430078685,0.17010301577965908,0.2,0.2,0.2,0.2,0.2,0.2,0.18505150788982955
cit-HepPh,RDN,back_in_time,,0.1302979176092101,0.18724006614900776,0.11120521153580246,0.004485118277419525,0.1761007199727081,0.13610794842412485,0.3082828576185541,0.33888888888888885,0.30390382142787575,0.18850139443373237,0.2,0.3333333333333333,0.2,0.2,0.2,0.22666666666666666,0.20758403055019953
cit-HepPh,RW,back_in_time,,0.15533566666537976,0.19567329697459,0.9976885381976108,0.0030343046742098002,0.14733555257851927,0.15234034282947323,0.2671871477390267,0.5277777777777778,0.33599979432619576,0.30915249130697586,0.2,0.2,0.2,0.2,0.2,0.2,0.2545762456534879
cit-HepPh,FF,back_in_time,,0.1268682777170909,0.16614820071470116,0.23948683216648187,0.00317940876987275,0.1602751897860593,0.16364653010033442,0.1747735688873575,0.41388888888888886,0.3709925254946221,0.20213993583615653,0.2,0.2,0.2,0.2,0.2,0.2,0.20106996791807827
cit-HepPh,HYB-RN-RW(alpha=0.3),back_in_time,0.3,0.11561527886312031,0.1655790568444344,0.12435952143083405,0.001981032625144475,0.14413217997945074,0.1386140867356795,0.21669850572249452,0.3722222222222222,0.2923323100856323,0.1746149105010014,0.2,0.2,0.2,0.2,0.2,0.2,0.1873074552505007
cit-HepPh,HYB-RN-RW(alpha=0.5),back_in_time,0.5,0.10372071020695095,0.16733016333374634,0.10329438096887147,0.001988752321863675,0.16996938299855918,0.16860498516361516,0.19867396511993873,0.36666666666666664,0.27693736056790574,0.1730207074831242,0.2,0.2666666666666666,0.2,0.2,0.2,0.21333333333333332,0.19317702040822876
cit-HepPh,HYB-RN-RW(alpha=0.7),back_in_time,0.7,0.11916258521049847,0.20362547299125094,0.09047259456133455,0.00154665818303965,0.1618312663229543,0.17768467915526734,0.2019415136610644,0.37777777777777777,0.26379063397920727,0.17753702020471052,0.2,0.2666666666666666,0.4000000000000001,0.2,0.2,0.2533333333333333,0.2154351767690219
cit-HepPh,HYB-RN-FF(alpha=0.3),back_in_time,0.3,0.11924587074562437,0.1674717089898333,0.08740935928813864,0.0022423028057273,0.15457926853473775,0.18223435109400016,0.18647265942566704,0.3555555555555555,0.36230138138563306,0.1797236064249908,0.2,0.2,0.2,0.2,0.2,0.2,0.1898618032124954
cit-HepPh,HYB-RN-FF(alpha=0.5),back_in_time,0.5,0.10844574650545018,0.17780244999231254,0.09342542979889074,0.001742145295012625,0.19418091231592371,0.20545666433109222,0.17451761501558877,0.3555555555555555,0.2960750265714111,0.17857794948680417,0.2,0.2666666666666666,0.2,0.2,0.2,0.21333333333333332,0.19595564141006874
