dataset,method,experiment_type,alpha,S1,S2,S3,S4,S5,S6,S7,S8,S9,avgS1_S9,T1,T2,T3,T4,T5,avgT1_T5,avgSandT
cit-HepTh,RN,back_in_time,,0.17442995243284334,0.16644600068514148,0.0249006489019002,0.0035315473845748254,0.2782738095238095,0.21458333333333332,0.19749542936369674,0.4972222222222222,0.41485172235172235,0.21908162957769375,0.2333333333333333,0.2,0.5333333333333333,0.2666666666666666,0.4666666666666666,0.33999999999999997,0.27954081478884685
cit-HepTh,RPN,back_in_time,,0.2889103987051888,0.30670214953436475,0.0299926275185897,0.007695952063394375,0.274557387057387,0.23915598290598286,0.3550133233021638,0.36666666666666664,0.420468697968698,0.2543514650802707,0.2,0.3333333333333333,0.3333333333333333,0.2,0.2666666666666666,0.26666666666666666,0.26050906587346867
cit-HepTh,RDN,back_in_time,,0.4279859521210255,0.5052846583387416,0.03148589103845488,0.014578101185276198,0.27354355203619907,0.24926680073738897,0.559442400507607,0.4472222222222222,0.5732190328054299,0.3424476234435939,0.2,0.2666666666666666,0.2,0.2,0.2,0.21333333333333332,0.2778904783884636
cit-HepTh,RW,back_in_time,,0.38893718861151383,0.46940787713565396,0.9996951219512196,0.012033139167652524,0.2620885854341736,0.25170109710550886,0.6547135249341476,0.43333333333333335,0.4717288035322091,0.43818207457837915,0.2,0.2666666666666666,0.2666666666666666,0.2,0.2,0.22666666666666663,0.3324243706225229
cit-HepTh,FF,back_in_time,,0.2915824803495874,0.37456241136904433,0.3359123272085083,0.016501124815353124,0.26005395748042803,0.24355285917785913,0.471022512456377,0.48333333333333334,0.5768301936159078,0.33926124442293315,0.2,0.2,0.4000000000000001,0.2,0.2666666666666666,0.2533333333333333,0.2962972888781332
cit-HepTh,HYB-RN-RW(alpha=0.3),back_in_time,0.3,0.3553792247309705,0.4266101996383516,0.07582584550802608,0.008577458864105575,0.26604225023342665,0.25006449160860916,0.5631858112793922,0.26666666666666666,0.36049412381638285,0.28587178581621464,0.2,0.2666666666666666,0.2666666666666666,0.2,0.2666666666666666,0.23999999999999994,0.26293589290810726
cit-HepTh,HYB-RN-RW(alpha=0.5),back_in_time,0.5,0.3120354829409258,0.36845702237198125,0.06144472492723195,0.006471870326564675,0.26790293040293034,0.23668345543345543,0.475033548893667,0.2722222222222222,0.37408640817177397,0.26381529618786137,0.2,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2533333333333333,0.25857431476059733
cit-HepTh,HYB-RN-RW(alpha=0.7),back_in_time,0.7,0.2589022454485836,0.2884630376320774,0.05020627944804465,0.005510205522632575,0.2925962925962926,0.23534867909867907,0.36698652395059694,0.29166666666666663,0.37664889848713373,0.24070320320563413,0.2,0.4000000000000001,0.4000000000000001,0.2,0.2666666666666666,0.29333333333333333,0.2670182682694837
cit-HepTh,HYB-RN-FF(alpha=0.3),back_in_time,0.3,0.3309265181547312,0.37109419879539973,0.04111127568421395,0.012750875242037,0.24835052610787903,0.23145133053221287,0.4274893589983675,0.525,0.5509564030194729,0.30434783183714603,0.25,0.2666666666666666,0.2666666666666666,0.2,0.2,0.23666666666666664,0.27050724925190633
cit-HepTh,HYB-RN-FF(alpha=0.5),back_in_time,0.5,0.31593220371611036,0.34196232868976284,0.027523034293370524,0.009354852212854998,0.27411477411477403,0.23911019536019534,0.37766330267928105,0.4194444444444444,0.4949111660697026,0.27777958906449957,0.25,0.2666666666666666,0.2666666666666666,0.2,0.2,0.23666666666666664,0.2572231278655831
cit-HepTh,HYB-RN-FF(alpha=0.7),back_in_time,0.7,0.2589112501149252,0.2792388276203538,0.033497006817941655,0.00798663241406,0.25697496947496945,0.24962259962259958,0.30359567160477546,0.34722222222222215,0.43757494830665555,0.241624903133167,0.2,0.2,0.3333333333333333,0.2,0.2,0.22666666666666666,0.23414578489991683
cit-HepTh,HYB-RPN-RW(alpha=0.3),back_in_time,0.3,0.369453015058369,0.4178603006274387,0.074148623714432,0.0089825700378549,0.24771825396825395,0.23928571428571424,0.5431930889673192,0.3916666666666666,0.42405793821116405,0.30181846350413477,0.2,0.2,0.2666666666666666,0.2,0.2,0.21333333333333332,0.2575758984187341
cit-HepTh,HYB-RPN-RW(alpha=0.5),back_in_time,0.5,0.33224613317074175,0.3327296907686516,0.04466151807736947,0.007679854500402175,0.2837787212787213,0.2421959984459984,0.44797334842401026,0.33055555555555555,0.43248262811385735,0.27270038314836753,0.2,0.2666666666666666,0.4000000000000001,0.2,0.2666666666666666,0.26666666666666666,0.2696835249075171
cit-HepTh,HYB-RPN-RW(alpha=0.7),back_in_time,0.7,0.3085613118028947,0.32459189874622946,0.026258010307964548,0.007670906433268825,0.29719585969585965,0.24341422466422463,0.4174341047109227,0.3416666666666666,0.4083547008547008,0.26390529820919245,0.2,0.2666666666666666,0.2666666666666666,0.2,0.2,0.22666666666666663,0.24528598243792954
cit-HepTh,HYB-RPN-FF(alpha=0.3),back_in_time,0.3,0.3248936767465735,0.38812939337790286,0.03567017971865843,0.014684928398063927,0.2614365618042089,0.23756980356245055,0.45547155431640635,0.5277777777777777,0.5783545491775305,0.31377649165328586,0.2,0.2666666666666666,0.2666666666666666,0.2,0.2,0.22666666666666663,0.27022157915997624
cit-HepTh,HYB-RPN-FF(alpha=0.5),back_in_time,0.5,0.3205340677228108,0.3621407964108348,0.03737824764230107,0.008421465610703775,0.24494047619047615,0.23455298786181134,0.40930018942442725,0.45833333333333337,0.5263352095059413,0.28910408596696,0.2,0.3333333333333333,0.2666666666666666,0.2,0.2,0.24,0.26455204298348
cit-HepTh,HYB-RPN-FF(alpha=0.7),back_in_time,0.7,0.29971467848294064,0.3106212272589537,0.026783057889394276,0.00564181098662405,0.2567897992530345,0.24607162309368188,0.37401678515210734,0.5388888888888889,0.5359485094850948,0.2882751533878578,0.2,0.2666666666666666,0.3333333333333333,0.2,0.2,0.24,0.2641375766939289
cit-HepTh,HYB-RDN-RW(alpha=0.3),back_in_time,0.3,0.4132066636307777,0.4985865738025297,0.05688346065254479,0.013223261365125801,0.25573489010989003,0.23828983516483512,0.6542077733801709,0.4361111111111111,0.44031829281829277,0.3340624291150308,0.2,0.2,0.2,0.2,0.2,0.2,0.26703121455751544
cit-HepTh,HYB-RDN-RW(alpha=0.5),back_in_time,0.5,0.3935340084396461,0.45786198180311055,0.03987801569102377,0.009607870187952824,0.2662545447471918,0.2551334422657952,0.5850997236847368,0.37777777777777777,0.4814643007505274,0.31851240726086244,0.2,0.2,0.2,0.2,0.2,0.2,0.2592562036304312
cit-HepTh,HYB-RDN-RW(alpha=0.7),back_in_time,0.7,0.4141474432582809,0.47674735886809694,0.040665096685077104,0.013293160705093425,0.25972222222222213,0.22959956709956705,0.5942911777137837,0.3694444444444444,0.49313422688422687,0.3212271886534214,0.2,0.2,0.2,0.2,0.2,0.2,0.2606135943267107
cit-HepTh,HYB-RDN-FF(alpha=0.3),back_in_time,0.3,0.36972789135791445,0.4354816823901736,0.161025752336671,0.015586253480968098,0.25646591970121374,0.24629629629629624,0.527742162762047,0.461111111111111,0.5545830319106181,0.3364466779274459,0.2,0.2,0.2,0.2,0.2666666666666666,0.21333333333333332,0.2748900056303896
cit-HepTh,HYB-RDN-FF(alpha=0.5),back_in_time,0.5,0.37213537130600355,0.4435258013832614,0.06420910403109209,0.015388270339757901,0.2544490231990231,0.23409713244272065,0.5183414793108388,0.5305555555555556,0.5748313156377671,0.33417033924511336,0.2,0.2,0.2,0.2,0.2,0.2,0.2670851696225567
cit-HepTh,HYB-RDN-FF(alpha=0.7),back_in_time,0.7,0.4090135997500544,0.4852642335059026,0.04852138624380847,0.013264302035262925,0.2575396825396825,0.25383986928104574,0.5506608554188549,0.475,0.5452491258741259,0.3375947838498597,0.2,0.2666666666666666,0.2,0.2,0.2666666666666666,0.22666666666666666,0.28213072525826316
